Item Name,Price
"APPLE iPhone 11 Pro (Space Grey, 64 GB)",98999
"Apple iPhone XR ((PRODUCT)RED, 128 GB) (Includes EarPods, Power Adapter)",41699
"APPLE iPhone SE 3rd Gen (Midnight, 64 GB)",32699
"APPLE iPhone 12 Pro Max (Pacific Blue, 256 GB)",104799
"APPLE iPhone 12 Pro Max (Pacific Blue, 512 GB)",123299
"APPLE iPhone 12 Pro Max (Gold, 128 GB)",95599
"APPLE iPhone 12 (Blue, 128 GB)",56999
"APPLE iPhone 12 Pro Max (Silver, 128 GB)",95599
"APPLE iPhone 12 (Purple, 128 GB)",56999
"Apple iPhone XR (Coral, 128 GB) (Includes EarPods, Power Adapter)",41699
"APPLE iPhone 11 Pro (Midnight Green, 256 GB)",99949
"APPLE iPhone 11 Pro Max (Silver, 512 GB)",150800
"APPLE iPhone 12 Pro Max (Graphite, 256 GB)",129900
Cellecor E3,1061
"APPLE iPhone 6s (Rose Gold, 64 GB)",72000
"APPLE iPhone 7 Plus (Silver, 128 GB)",42900
"APPLE iPhone 12 Pro Max (Silver, 512 GB)",123299
"APPLE iPhone 12 Pro Max (Gold, 256 GB)",104799
"APPLE iPhone XR ((PRODUCT)RED, 128 GB)",41699
"APPLE iPhone 12 Pro (Pacific Blue, 128 GB)",78899
"Apple iPhone SE (Red, 256 GB) (Includes EarPods, Power Adapter)",54900
"APPLE iPhone 12 Pro (Pacific Blue, 512 GB)",106699
"APPLE iPhone 6s (Space Grey, 16 GB)",62000
"APPLE iPhone 6 Plus (Gold, 128 GB)",80500
"APPLE iPhone 6 Plus (Space Grey, 128 GB)",80500
"APPLE iPhone 6 Plus (Gold, 64 GB)",71500
"APPLE iPhone X (Silver, 256 GB)",106900
"APPLE iPhone X (Space Gray, 256 GB)",106900
"APPLE iPhone XR (Yellow, 128 GB)",41699
"APPLE iPhone X (Space Gray, 64 GB)",91900
"APPLE iPhone X (Silver, 64 GB)",91900
